TransactionID,OrderDate,SKU,ProductName,Category,Channel,Quantity,UnitPrice,Returned,CustomerCity,PaymentMethod,DiscountCode
T00001,2025-01-30,SKU-007 ,Wireless Earbuds Lite,Electronics,FB,2,68.25,No,Islamabad,,FREESHIP
T00002,2025-02-13,SKU-002,Urban Hoodie Grey,,IG,2,42.3,No,,Card,NEWCUSTOMER
T00003,2025-02-16,SKU-008,Smart Watch Strap,Accessories,Google,1,22.0,No,Islamabad,Bank Transfer,EIDSALE
T00004,2025-03-24,SKU-001,Urban Hoodie Black,Apparel,instagram,2,45.0,No,Lahore,COD,
T00005,2025-03-14,SKU-014,Desk Lamp LED,Home,facebook,1,42.0,No,,Bank Transfer,WELCOME10
T00006,2025-01-07,SKU-013,Phone Tripod Mini,Electronics,FB,2,24.7,No,Lahore,,
T00007,2025-03-24,SKU-005,Gym Bottle Steel,Accessories,FB,1,18.9,No,Faisalabad,,NEWCUSTOMER
T00008,2025-03-11,SKU-015,Reusable Tote Bag,Accessories,Organic,1,13.3,Yes,Karachi,Card,
T00009,2025-01-17,SKU-002,Urban Hoodie Grey,Apparel,instagram,1,42.3,No,Faisalabad,card,
T00010,2025-01-16,SKU-004,Performance Sneakers Black,,Facebook,1,88.0,No,Karachi,Card,EIDSALE
T00011,2025-01-28,SKU-008,Smart Watch Strap,Accessories,Search,1,22.0,No,lahore,,
T00012,2025-02-21,SKU-011, Travel Backpack ,Bags,Google,1,72.0,No,KHI,Card,
T00013,2025-01-12,SKU-015,Reusable Tote Bag,Accessories,Google Ads,1,13.3,No,lahore,Bank Transfer,FREESHIP
T00014,2025-03-26,SKU-011,Travel Backpack,Bags,Facebook Ads,1,72.0,No,KHI,COD,
T00015,2025-03-18,SKU-001,Urban Hoodie Black,Apparel,google,1,40.5,No,Faisalabad,COD,
T00016,2025-03-27,SKU-009,Running Shorts Navy,Apparel,Instagram,1,28.8,No,Karachi,COD,EIDSALE
T00017,2025-02-08,SKU-009,Running Shorts Navy,Apparel,,1,28.8,No,KHI,COD,EIDSALE
T00018,2025-03-29,SKU-009,Running Shorts Navy,Apparel ,facebook,1,32.0,No,Faisalabad,COD,
T00019,2025-01-15,SKU-001,Urban Hoodie Black,Apparel,Google Ads,1,45.0,No,Lahore,Bank Transfer,WELCOME10
T00020,2025-03-13,SKU-014,Desk Lamp LED,Home,instagram,2,40.0,No,Multan,card,
T00021,2025-03-31,SKU-002,Urban Hoodie Grey,Apparel,google,1,44.65,No,Faisalabad,Card,EIDSALE
